,Date,Name,Place,URL
1166,mer. 25.08.2010,Tour du pays de Vaud #3 - Mezières,Chavornay,http://services.datasport.com/2010/lauf/tdpv/etape4
1167,mer. 25.08.2010,Liestaler Stadtlauf,Liestal,http://services.datasport.com/2010/lauf/liestal
1168,dim. 22.08.2010,"Engadiner Sommerlauf, Samedan",Bever,http://services.datasport.com/2010/lauf/engadin
1169,dim. 22.08.2010,"Thuner Stadtlauf, Thun",Thun,http://services.datasport.com/2010/lauf/thunstadt
1170,dim. 22.08.2010,10-Meilen Laufen,Laufen,http://services.datasport.com/2010/lauf/laufen
1171,sam. 21.08.2010,"Internationaler Matterhornlauf, Zermatt",Zermatt,http://services.datasport.com/2010/lauf/matterhorn
1172,sam. 21.08.2010,"Mountainman, Titlis-Hasliberg-Pilatus",Sarnen,http://services.datasport.com/2010/lauf/mountainman
1173,mer. 18.08.2010,Tour du Pays de Vaud #2 - Genolier,Mézières VD,http://services.datasport.com/2010/lauf/tdpv/etape2
1174,mer. 18.08.2010,Emmenlauf Utzenstorf,Utzenstorf,http://services.datasport.com/2010/lauf/emme
1175,dim. 15.08.2010,"crossrun, Therwil",Therwil,http://services.datasport.com/2010/lauf/crossrun
1176,sam. 14.08.2010,"Münsiger-Louf, Münsingen",Münsingen,http://services.datasport.com/2010/lauf/muensingen
1177,mer. 11.08.2010,Tour du pays de Vaud #1 – St. Prex,Yverdon-les-Bains,http://services.datasport.com/2010/lauf/tdpv/etape3
1178,dim. 08.08.2010,"Sierre-Zinal, Sierre",Sierre,http://services.datasport.com/2010/lauf/zinal
1179,sam. 07.08.2010,"Glacier 3000 Run, Gstaad",Gstaad,http://services.datasport.com/2010/lauf/glacier3000
1180,dim. 01.08.2010,"Course pédestre Thyon-Dixence, Thyon",Thyon-Les Collons,http://services.datasport.com/2010/lauf/thyon
1181,dim. 26.09.2010,"Pfäffikerseelauf, Wetzikon",Wetzikon ZH,http://services.datasport.com/2010/zkb/pfaeffiker
1182,dim. 26.09.2010,"Stralugano, Lugano",Lugano,http://services.datasport.com/2010/lauf/stralugano
1183,dim. 26.09.2010,Neeracher Kinder- und Jugendlauf,Neerach,http://services.datasport.com/2010/lauf/neerach
1184,sam. 25.09.2010,A travers Carouge - Run to Run,Carouge GE,http://services.datasport.com/2010/lauf/carouge
1185,sam. 25.09.2010,"Willisauer Lauf, Willisau",Willisau,http://services.datasport.com/2010/lauf/willisau
1186,sam. 18.09.2010,"Int Greifenseelauf, Uster",Uster,http://services.datasport.com/2010/lauf/Greifenseelauf
1187,dim. 12.09.2010,IWB Basel Marathon,Basel,http://services.datasport.com/2010/lauf/runtothebeat
1188,sam. 11.09.2010,"Jungfrau-Marathon, Interlaken",Interlaken,http://services.datasport.com/2010/lauf/jungfrau
1189,sam. 11.09.2010,Altstätter Städtlilauf,Altstätten SG,http://services.datasport.com/2010/lauf/altstaeter
1190,sam. 11.09.2010,Türlerseelauf Affoltern am Albis,Affoltern am Albis,http://services.datasport.com/2010/zkb/affoltern
1191,sam. 11.09.2010,"Burgdorfer Stadtlauf, Burgdorf",Burgdorf,http://services.datasport.com/2010/lauf/burgdorf
1192,ven. 10.09.2010,"Jungfrau Minirun + Minimarathon, Interlaken",Interlaken,http://services.datasport.com/2010/lauf/jmprolog
1193,mer. 08.09.2010,Tour du Pays de Vaud #5 - La Sarraz,Penthaz,http://services.datasport.com/2010/lauf/tdpv/etape1
1194,sam. 04.09.2010,"Rütilauf, Rüti ZH",Rüti ZH,http://services.datasport.com/2010/zkb/rueti
1195,mer. 01.09.2010,Tour du Pays de Vaud #4 - Chavornay,Champvent,http://services.datasport.com/2010/lauf/tdpv/etape4
1196,dim. 31.10.2010,Lausanne Marathon,Lausanne,http://services.datasport.com/2010/lauf/lamara
1197,dim. 31.10.2010,"Lucerne Marathon, Luzern",Luzern,http://services.datasport.com/2010/lauf/lucernemarathon
1198,sam. 30.10.2010,"Glarner Stadtlauf, Glarus",Glarus,http://services.datasport.com/2010/lauf/glarus
1199,sam. 23.10.2010,"Üetliberglauf, Zürich",Zürich,http://services.datasport.com/2010/zkb/uetliberg
1200,sam. 23.10.2010,Herbstlauf Burgdorf,Burgdorf,http://services.datasport.com/2010/lauf/burgherbst
1201,dim. 17.10.2010,"Brienzerseelauf, Bönigen",Bönigen b. Interlaken,http://services.datasport.com/2010/lauf/brienzer
1202,dim. 17.10.2010,"Bremgartenlauf, Bremgarten b.Bern",Bremgarten b. Bern,http://services.datasport.com/2010/lauf/bremgarten
1203,sam. 16.10.2010,"Hallwilerseelauf, Beinwil am See",Beinwil am See,http://services.datasport.com/2010/lauf/hallwil
1204,sam. 16.10.2010,"Bürenlauf, Büren an der Aare",Büren an der Aare,http://services.datasport.com/2010/lauf/bueren
1205,dim. 10.10.2010,Schlosslauf Rapperswil-Jona,Rapperswil SG,http://services.datasport.com/2010/lauf/schloss
1206,sam. 02.10.2010,Morat-Fribourg,Murten,http://services.datasport.com/2010/lauf/morat
1207,dim. 28.11.2010,"Course de l'Avent, Yverdon",Fribourg,http://services.datasport.com/2010/lauf/YverdonNoel
1208,sam. 27.11.2010,Basler Stadtlauf,Basel,http://services.datasport.com/2010/lauf/basel
1209,sam. 27.11.2010,Foulées automnales de Meyrin,Meyrin,http://services.datasport.com/2010/lauf/meyrin
1210,dim. 21.11.2010,Frauenfelder,Frauenfeld,http://services.datasport.com/2010/lauf/frauenfelder
1211,sam. 20.11.2010,"Corrida Bulloise, Bulle",Bulle,http://services.datasport.com/2010/lauf/corrida
1212,sam. 20.11.2010,Langenthaler Stadtlauf,Langenthal,http://services.datasport.com/2010/lauf/langenthal
1213,dim. 14.11.2010,"Maratona Ticino, Tenero",Tenero,http://services.datasport.com/2010/lauf/tenero
1214,dim. 14.11.2010,"Int. Bieler Cross, Biel-Bienne",Biel/Bienne,http://services.datasport.com/2010/lauf/bielercross
1215,sam. 13.11.2010,"Kyburglauf, Kyburg",Kyburg,http://services.datasport.com/2010/lauf/kyburg
1216,dim. 07.11.2010,"Walliseller Lauf, Wallisellen",Wallisellen,http://services.datasport.com/2010/lauf/wallisellen
1217,dim. 07.11.2010,"Gurtenclassic, Wabern",Wabern,http://services.datasport.com/2010/lauf/gurten
1218,ven. 31.12.2010,Gippinger Stauseelauf,Leuggern,http://services.datasport.com/2010/lauf/gippingen
