,Unnamed: 0,Date,Name,Place,URL,min_temp,max_temp,uv_index,weather_desc
705,705,dim. 03.12.2006,"Steinhölzlilauf, Liebefeld",Liebefeld,http://services.datasport.com/2006/lauf/steinhlzli,,,,
706,706,sam. 02.12.2006,"Course de l'Escalade, Genève",Genève,http://services.datasport.com/2006/lauf/escalade,,,,
707,707,sam. 02.12.2006,Gossauer Weihnachtslauf,Gossau SG,http://services.datasport.com/2006/lauf/gossau,,,,
708,708,sam. 13.01.2007,"Dietiker Neujahrslauf, Dietikon",Dietikon,http://services.datasport.com/2007/zkb/zhneujahr,,,,
709,709,sam. 06.01.2007,"Swiss Snow Walk & Run, Arosa",Arosa,http://services.datasport.com/2007/lauf/arosa,,,,
710,710,lun. 01.01.2007,"Neujahrsmarathon Zürich, Schlieren",Schlieren,http://services.datasport.com/2007/lauf/neujahrsmarathon/,,,,
711,711,sam. 17.02.2007,ASICS Bremgarter Reusslauf,Bremgarten AG,http://services.datasport.com/2007/lauf/reuss,,,,
712,712,dim. 25.03.2007,"Sihlcity Kidsmarathon, Zürich",Zürich,http://services.datasport.com/2007/lauf/kidsmarathon,,,,
713,713,sam. 24.03.2007,Zumiker-Lauf,Zumikon,http://services.datasport.com/2007/zkb/zumiker,,,,
714,714,sam. 24.03.2007,"Badener Limmat-Lauf, Baden",Baden,http://services.datasport.com/2007/lauf/baden,,,,
715,715,sam. 24.03.2007,Birslauf Basel,Basel,http://services.datasport.com/2007/lauf/birslauffr,,,,
716,716,sam. 17.03.2007,Kerzerslauf,Kerzers,http://services.datasport.com/2007/lauf/kerzers,,,,
717,717,sam. 17.03.2007,Männedörfler Waldlauf,Männedorf,http://services.datasport.com/2007/zkb/maennedorf,,,,
718,718,ven. 09.03.2007,"Tower-Running, Basel",Basel,http://services.datasport.com/2007/lauf/tower,,,,
719,719,sam. 03.03.2007,Laufsporttag Winterthur,Winterthur,http://services.datasport.com/2007/zkb/winterthur,,,,
720,720,dim. 29.04.2007,"Wiedlisbacher Läufe, Wiedlisbach",Wiedlisbach,http://services.datasport.com/2007/waffenlauf/wiedlisbacher,,,,
721,721,sam. 28.04.2007,Luzerner Stadtlauf,Luzern,http://services.datasport.com/2007/lauf/luzern,,,,
722,722,sam. 28.04.2007,20km de Lausanne,Lausanne,http://services.datasport.com/2007/lauf/km20,,,,
723,723,sam. 28.04.2007,"Chäsitzerlouf, Kehrsatz",Kehrsatz,http://services.datasport.com/2007/lauf/kehrsatz,,,,
724,724,mer. 25.04.2007,BCN Tour Couvet,Colombier NE,http://services.datasport.com/2007/lauf/tdcn/etape1,,,,
725,725,sam. 21.04.2007,"Rotseelauf, Ebikon",Ebikon,http://services.datasport.com/2007/lauf/rotsee,,,,
726,726,dim. 15.04.2007,Walking Lugano,Lugano,http://services.datasport.com/2007/lauf/lugano,,,,
727,727,sam. 14.04.2007,GP der Stadt Dübendorf,Dübendorf,http://services.datasport.com/2007/zkb/gpduebendorf,,,,
728,728,lun. 09.04.2007,"Giro Media Blenio, Dongio",Dongio,http://services.datasport.com/2007/lauf/blenio,,,,
729,729,sam. 07.04.2007,"GP Fricktal, Eiken",Eiken,http://services.datasport.com/2007/lauf/eiken,,,,
730,730,dim. 01.04.2007,"Zürich Marathon, Teamrun und Cityrun",Zürich,http://services.datasport.com/2007/lauf/zuerich,,,,
731,731,jeu. 31.05.2007,"Tzampata, Escaliers à Fribourg",Fribourg,http://services.datasport.com/2007/diverse/tzampata,,,,
732,732,mer. 30.05.2007,BCN Tour Neuchâtel,Neuchâtel,http://services.datasport.com/2007/lauf/tdcn/etape6,,,,
