,city,latitude,longitude,distance,runners,population,canton
343,F-Wattwiller,47.835925,7.176868,1.424483745102564,1,nan,nan
344,Vaumarcus,46.8781484,6.7550836,0.3789471447973354,2,nan,nan
345,Grand-Saconnex,46.2331904,6.1231633,0.5841696684899168,21,12107,GE
346,CAN-Mont St-Hilaire,n,a,,1,nan,nan
347,I-Fiano Romano (RM),42.1702573,12.5922521,7.378251378817889,1,nan,nan
348,Aigle,46.3190253,6.970566,0.3933110192328697,36,9942,VD
349,Cormondrèche,46.98504,6.8723478,0.5236604929891228,3,nan,nan
350,Versoix,46.2876938,6.1657813,0.5209800205252585,22,13263,GE
351,F-Strasbourg,48.5734053,7.752111299999999,2.339216402618546,7,nan,nan
352,F-Chadron,42.8294187,-102.9999069,109.69426963251472,1,nan,nan
353,Martigny,46.1049798,7.075533399999999,0.6069874010815093,23,17651,VS
354,Bouveret,46.3835529,6.854975199999999,0.2609970594539322,13,nan,nan
355,Muraz (Collombey),46.2710282,6.9459483,0.4002580201446275,11,nan,nan
356,Les Ponts-de-Martel,46.999113,6.733554799999999,0.4900401352197737,1,nan,nan
357,Dombresson,47.07096629999999,6.9549699,0.6388104840686947,3,nan,nan
358,Cortaillod,46.9431271,6.8467863,0.474705881745077,15,nan,nan
359,Bottens,n,a,,7,nan,nan
360,Miège,46.3114322,7.547542699999999,0.9386554220245992,2,nan,nan
361,Chapelle-sur-Moudon,46.6689929,6.734637900000001,0.18105454220375394,1,nan,nan
